"SMQ666C.Code.or.Value","SMQ666C.Value.Description","SMQ666C.Count","SMQ666C.Cumulative","SMQ666C.Skip.to.Item"
"1","Regulars",18,18,NA
"2","Lights",10,28,NA
"3","Ultralights",1,29,NA
"7","Refused",0,29,NA
"9","Don't know",1,30,NA
".","Missing",7115,7145,NA
