"OSD030ce.Code.or.Value","OSD030ce.Value.Description","OSD030ce.Count","OSD030ce.Cumulative","OSD030ce.Skip.to.Item"
"85","85 or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",1,1,NA
".","Missing",4879,4880,NA
