"RHQ162.Code.or.Value","RHQ162.Value.Description","RHQ162.Count","RHQ162.Cumulative","RHQ162.Skip.to.Item"
"1","Yes",183,183,""
"2","No",1927,2110,"RHQ166"
"3","Borderline",15,2125,"RHQ166"
"7","Refused",0,2125,"RHQ166"
"9","Don't know",8,2133,"RHQ166"
".","Missing",1338,3471,""
