"RDD040.Code.or.Value","RDD040.Value.Description","RDD040.Count","RDD040.Cumulative","RDD040.Skip.to.Item"
"1 to 62","Range of Values",405,405,NA
"70","70 or more",1,406,NA
"77777","Refused",0,406,NA
"99999","Don't know",13,419,NA
".","Missing",9690,10109,NA
