"PAXAISMM.Code.or.Value","PAXAISMM.Value.Description","PAXAISMM.Count","PAXAISMM.Cumulative","PAXAISMM.Skip.to.Item"
"0 to 4800","Range of Values",78126856,78126856,NA
".","Missing",0,78126856,NA
