"LBDD04LC.Code.or.Value","LBDD04LC.Value.Description","LBDD04LC.Count","LBDD04LC.Cumulative","LBDD04LC.Skip.to.Item"
"0","At or above the detection limit",220,220,NA
"1","Below lower detection limit",27,247,NA
".","Missing",17,264,NA
