"URDUCD.Code.or.Value","URDUCD.Value.Description","URDUCD.Count","URDUCD.Cumulative","URDUCD.Skip.to.Item"
"0 to 12.83475","Range of Values",2257,2257,NA
".","Missing",290,2547,NA
