"PHQ060.Code.or.Value","PHQ060.Value.Description","PHQ060.Count","PHQ060.Cumulative","PHQ060.Skip.to.Item"
"1","Yes",91,91,NA
"2","No",8259,8350,NA
".","Missing",482,8832,NA
