"LBDVBZLC.Code.or.Value","LBDVBZLC.Value.Description","LBDVBZLC.Count","LBDVBZLC.Cumulative","LBDVBZLC.Skip.to.Item"
"0","detectable result",443,443,NA
"1","below detectable limit",394,837,NA
"2","detectable result and exceeds the calibrated range of assay",0,837,NA
".","Missing",612,1449,NA
