"URXTCC.Code.or.Value","URXTCC.Value.Description","URXTCC.Count","URXTCC.Cumulative","URXTCC.Skip.to.Item"
"0.42 to 374","Range of Values",2275,2275,NA
".","Missing",230,2505,NA
