"DR2ILINE.Code.or.Value","DR2ILINE.Value.Description","DR2ILINE.Count","DR2ILINE.Cumulative","DR2ILINE.Skip.to.Item"
"1 to 51","Range of Values",132151,132151,NA
".","Missing",0,132151,NA
