"ORXH59.Code.or.Value","ORXH59.Value.Description","ORXH59.Count","ORXH59.Cumulative","ORXH59.Skip.to.Item"
"1","Positive",18,18,NA
"2","Negative",4829,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
