"RFXC101.Code.or.Value","RFXC101.Value.Description","RFXC101.Count","RFXC101.Cumulative","RFXC101.Skip.to.Item"
"-7.651 to 4.994","Range of Values",51061,51061,NA
".","Missing",15,51076,NA
