"LBDPFUAL.Code.or.Value","LBDPFUAL.Value.Description","LBDPFUAL.Count","LBDPFUAL.Cumulative","LBDPFUAL.Skip.to.Item"
"0","At or above the detection limit",943,943,NA
"1","Below lower detection limit",1225,2168,NA
".","Missing",171,2339,NA
