"DS2TCARB.Code.or.Value","DS2TCARB.Value.Description","DS2TCARB.Count","DS2TCARB.Cumulative","DS2TCARB.Skip.to.Item"
"0 to 84","Range of Values",742,742,NA
".","Missing",9020,9762,NA
