"DR2MC.Code.or.Value","DR2MC.Value.Description","DR2MC.Count","DR2MC.Cumulative","DR2MC.Skip.to.Item"
"100004 to 207825","Range of Values",1838,1838,NA
"0","No modification",110263,112101,NA
".","Missing",0,112101,NA
