"BIDFC.Code.or.Value","BIDFC.Value.Description","BIDFC.Count","BIDFC.Cumulative","BIDFC.Skip.to.Item"
"2 to 883","Range of Values",4606,4606,NA
".","Missing",1343,5949,NA
