"TYXP021.Code.or.Value","TYXP021.Value.Description","TYXP021.Count","TYXP021.Cumulative","TYXP021.Skip.to.Item"
"6 to 197","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
