"DXDSTTOT.Code.or.Value","DXDSTTOT.Value.Description","DXDSTTOT.Count","DXDSTTOT.Cumulative","DXDSTTOT.Skip.to.Item"
"14804.3 to 177770","Range of Values",4544,4544,NA
".","Missing",1148,5692,NA
