"ALQ120Q.Code.or.Value","ALQ120Q.Value.Description","ALQ120Q.Count","ALQ120Q.Cumulative","ALQ120Q.Skip.to.Item"
"0 to 350","Range of Values",4181,4181,NA
"777","Refused",2,4183,NA
"999","Don't know",5,4188,NA
".","Missing",1427,5615,NA
