"URDMIBLC.Code.or.Value","URDMIBLC.Value.Description","URDMIBLC.Count","URDMIBLC.Cumulative","URDMIBLC.Skip.to.Item"
"0","At or above the detection limit",2464,2464,NA
"1","Below lower detection limit",25,2489,NA
".","Missing",105,2594,NA
