"RFXC062.Code.or.Value","RFXC062.Value.Description","RFXC062.Count","RFXC062.Cumulative","RFXC062.Skip.to.Item"
"-6.044 to 4.654","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
