"DSQTVB12.Code.or.Value","DSQTVB12.Value.Description","DSQTVB12.Count","DSQTVB12.Cumulative","DSQTVB12.Skip.to.Item"
"0.1 to 10000.9","Range of Values",2831,2831,NA
".","Missing",7706,10537,NA
