"URDMHPLC.Code.or.Value","URDMHPLC.Value.Description","URDMHPLC.Count","URDMHPLC.Cumulative","URDMHPLC.Skip.to.Item"
"0","At or above the detection limit",1753,1753,NA
"1","Below lower detection limit",795,2548,NA
".","Missing",90,2638,NA
