"DRD350E.Code.or.Value","DRD350E.Value.Description","DRD350E.Count","DRD350E.Cumulative","DRD350E.Skip.to.Item"
"1","Yes",198,198,""
"2","No",4283,4481,"DRD350F"
".","Missing",5772,10253,""
