"OHAPOS.Code.or.Value","OHAPOS.Value.Description","OHAPOS.Count","OHAPOS.Cumulative","OHAPOS.Skip.to.Item"
"1","Yes",7024,7024,NA
"2","No",123,7147,NA
".","Missing",1042,8189,NA
