"RFXT149.Code.or.Value","RFXT149.Value.Description","RFXT149.Count","RFXT149.Cumulative","RFXT149.Skip.to.Item"
"1300 to 1309","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
