"CIQG22.Code.or.Value","CIQG22.Value.Description","CIQG22.Count","CIQG22.Cumulative","CIQG22.Skip.to.Item"
"14 to 39","Range of Values",11,11,NA
"77","Refused",0,11,NA
"99","Don't know",3,14,NA
".","Missing",914,928,NA
