"DR2TP226.Code.or.Value","DR2TP226.Value.Description","DR2TP226.Count","DR2TP226.Cumulative","DR2TP226.Skip.to.Item"
"0 to 4.328","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
