"WBXP102.Code.or.Value","WBXP102.Value.Description","WBXP102.Count","WBXP102.Cumulative","WBXP102.Skip.to.Item"
"-174.7313 to 175.7366","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
