"DSDANCNT.Code.or.Value","DSDANCNT.Value.Description","DSDANCNT.Count","DSDANCNT.Cumulative","DSDANCNT.Skip.to.Item"
"0 to 2","Range of Values",10530,10530,NA
"77","Refused",2,10532,NA
"99","Don't know",4,10536,NA
".","Missing",1,10537,NA
