"FSQ440.Code.or.Value","FSQ440.Value.Description","FSQ440.Count","FSQ440.Cumulative","FSQ440.Skip.to.Item"
"1","Yes",73,73,NA
"2","No",1212,1285,NA
"7","Refused",4,1289,NA
"9","Don't know",35,1324,NA
".","Missing",9024,10348,NA
