"BIXS006K.Code.or.Value","BIXS006K.Value.Description","BIXS006K.Count","BIXS006K.Cumulative","BIXS006K.Skip.to.Item"
"290.69 to 1055.74","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
