"ORXH51.Code.or.Value","ORXH51.Value.Description","ORXH51.Count","ORXH51.Cumulative","ORXH51.Skip.to.Item"
"1","Positive",13,13,NA
"2","Negative",4834,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
