"SPXNFEV5.Code.or.Value","SPXNFEV5.Value.Description","SPXNFEV5.Count","SPXNFEV5.Cumulative","SPXNFEV5.Skip.to.Item"
"508 to 5219","Range of Values",7079,7079,NA
".","Missing",1116,8195,NA
