"LBXSF1SI.Code.or.Value","LBXSF1SI.Value.Description","LBXSF1SI.Count","LBXSF1SI.Cumulative","LBXSF1SI.Skip.to.Item"
"1.88 to 295","Range of Values",7471,7471,NA
".","Missing",1485,8956,NA
