"PAQ540.Code.or.Value","PAQ540.Value.Description","PAQ540.Count","PAQ540.Cumulative","PAQ540.Skip.to.Item"
"1","More active now,",521,521,NA
"2","Less active now, or",2397,2918,NA
"3","About the same?",1082,4000,NA
"7","Refused",5,4005,NA
"9","Don't know",3,4008,NA
".","Missing",5180,9188,NA
