"DR1IP226.Code.or.Value","DR1IP226.Value.Description","DR1IP226.Count","DR1IP226.Cumulative","DR1IP226.Skip.to.Item"
"0 to 2.892","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
