"DR2ITHEO.Code.or.Value","DR2ITHEO.Value.Description","DR2ITHEO.Count","DR2ITHEO.Cumulative","DR2ITHEO.Skip.to.Item"
"0 to 877","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
