"LBDNENO.Code.or.Value","LBDNENO.Value.Description","LBDNENO.Count","LBDNENO.Cumulative","LBDNENO.Skip.to.Item"
"0.3 to 19.4","Range of Values",8116,8116,NA
".","Missing",1049,9165,NA
