"SSDCPL.Code.or.Value","SSDCPL.Value.Description","SSDCPL.Count","SSDCPL.Cumulative","SSDCPL.Skip.to.Item"
"0","At or above the detection limit",9,9,NA
"1","Below lower detection limit",2045,2054,NA
".","Missing",0,2054,NA
