"DMDHRGND.Code.or.Value","DMDHRGND.Value.Description","DMDHRGND.Count","DMDHRGND.Cumulative","DMDHRGND.Skip.to.Item"
"1","Male",4920,4920,NA
"2","Female",4836,9756,NA
".","Missing",0,9756,NA
