"MCQ260GB.Code.or.Value","MCQ260GB.Value.Description","MCQ260GB.Count","MCQ260GB.Cumulative","MCQ260GB.Skip.to.Item"
"2","Father",179,179,NA
".","Missing",9314,9493,NA
