"PFQ020.Code.or.Value","PFQ020.Value.Description","PFQ020.Count","PFQ020.Cumulative","PFQ020.Skip.to.Item"
"1","Yes",210,210,""
"2","No",4631,4841,"PFQ035a"
"7","Refused",0,4841,"PFQ035a"
"9","Don't know",1,4842,"PFQ035a"
".","Missing",4980,9822,""
