"DXXRABMD.Code.or.Value","DXXRABMD.Value.Description","DXXRABMD.Count","DXXRABMD.Cumulative","DXXRABMD.Skip.to.Item"
"0.379 to 1.209","Range of Values",4684,4684,NA
".","Missing",1008,5692,NA
