"SPXBF257.Code.or.Value","SPXBF257.Value.Description","SPXBF257.Count","SPXBF257.Cumulative","SPXBF257.Skip.to.Item"
"301 to 5465","Range of Values",611,611,NA
".","Missing",7132,7743,NA
