"DID340.Code.or.Value","DID340.Value.Description","DID340.Count","DID340.Cumulative","DID340.Skip.to.Item"
"1 to 144","Range of Values",481,481,NA
"0","None",226,707,NA
"7777","Refused",0,707,NA
"9999","Don't know/not sure",3,710,NA
".","Missing",8956,9666,NA
