"URDUCSLC.Code.or.Value","URDUCSLC.Value.Description","URDUCSLC.Count","URDUCSLC.Cumulative","URDUCSLC.Skip.to.Item"
"0","At or above the detection limit",2627,2627,NA
"1","Below lower detection limit",0,2627,NA
".","Missing",93,2720,NA
