"DSQISELE.Code.or.Value","DSQISELE.Value.Description","DSQISELE.Count","DSQISELE.Cumulative","DSQISELE.Skip.to.Item"
"1 to 800","Range of Values",1291,1291,NA
".","Missing",8268,9559,NA
