"CIQP13N.Code.or.Value","CIQP13N.Value.Description","CIQP13N.Count","CIQP13N.Cumulative","CIQP13N.Skip.to.Item"
"1","Yes",25,25,NA
"2","No",93,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
