"LBXHXC.Code.or.Value","LBXHXC.Value.Description","LBXHXC.Count","LBXHXC.Cumulative","LBXHXC.Skip.to.Item"
"17.75 to 2408.2","Range of Values",1888,1888,NA
".","Missing",386,2274,NA
