"URXCEM.Code.or.Value","URXCEM.Value.Description","URXCEM.Count","URXCEM.Cumulative","URXCEM.Skip.to.Item"
"4.92 to 3230","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
