"LBCBR2.Code.or.Value","LBCBR2.Value.Description","LBCBR2.Count","LBCBR2.Cumulative","LBCBR2.Skip.to.Item"
"3.3 to 54.4","Range of Values",264,264,NA
".","Missing",0,264,NA
