"DS2TSELE.Code.or.Value","DS2TSELE.Value.Description","DS2TSELE.Count","DS2TSELE.Cumulative","DS2TSELE.Skip.to.Item"
"1 to 500","Range of Values",1205,1205,NA
".","Missing",9048,10253,NA
