"LBCMIR.Code.or.Value","LBCMIR.Value.Description","LBCMIR.Count","LBCMIR.Cumulative","LBCMIR.Skip.to.Item"
"3.465 to 224.1","Range of Values",301,301,NA
".","Missing",0,301,NA
