"LBDRUIU.Code.or.Value","LBDRUIU.Value.Description","LBDRUIU.Count","LBDRUIU.Cumulative","LBDRUIU.Skip.to.Item"
"1 to 327","Range of Values",5799,5799,NA
".","Missing",555,6354,NA
