"LBDLDLM.Code.or.Value","LBDLDLM.Value.Description","LBDLDLM.Count","LBDLDLM.Cumulative","LBDLDLM.Skip.to.Item"
"21 to 358","Range of Values",2808,2808,NA
".","Missing",228,3036,NA
