"MPQ120d.Code.or.Value","MPQ120d.Value.Description","MPQ120d.Count","MPQ120d.Cumulative","MPQ120d.Skip.to.Item"
"13","Shoulder girdle - left",186,186,NA
".","Missing",5225,5411,NA
