"CIQP11.Code.or.Value","CIQP11.Value.Description","CIQP11.Count","CIQP11.Cumulative","CIQP11.Skip.to.Item"
"1","Yes",16,16,""
"2","No",83,99,"CIQP13A"
"7","Refused",0,99,""
"9","Don't know",0,99,""
".","Missing",679,778,""
