"LBDAPBSI.Code.or.Value","LBDAPBSI.Value.Description","LBDAPBSI.Count","LBDAPBSI.Cumulative","LBDAPBSI.Skip.to.Item"
"0.2 to 2.34","Range of Values",3145,3145,NA
".","Missing",184,3329,NA
