"BIXS220K.Code.or.Value","BIXS220K.Value.Description","BIXS220K.Count","BIXS220K.Cumulative","BIXS220K.Skip.to.Item"
"75.58 to 849","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
