"FFQ0122A.Code.or.Value","FFQ0122A.Value.Description","FFQ0122A.Count","FFQ0122A.Cumulative","FFQ0122A.Skip.to.Item"
1,"Almost never or never",4936,4936,NA
2,"About 1/4 of the time",344,5280,NA
3,"About 1/2 of the time",253,5533,NA
4,"About 3/4 of the time",84,5617,NA
5,"Almost always or always",160,5777,NA
88,"Blank",692,6469,NA
99,"Error",3,6472,NA
