"SMD440.Code.or.Value","SMD440.Value.Description","SMD440.Count","SMD440.Cumulative","SMD440.Skip.to.Item"
"1 to 2","Range of Values",90,90,NA
"3","3 or More",73,163,NA
".","Missing",10876,11039,NA
