"DXXRRBMD.Code.or.Value","DXXRRBMD.Value.Description","DXXRRBMD.Count","DXXRRBMD.Cumulative","DXXRRBMD.Skip.to.Item"
"0.352 to 1.035","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
